timestamp,metrica,valor
2026-09-07 04:26:22,cpu_usr,0.0
2026-09-07 04:26:22,cpu_sys,0.0
2026-09-07 04:26:22,cpu_idl,0.0
2026-09-07 04:26:22,cpu_wai,0.0
2026-09-07 04:26:22,cpu_stl,0.0
2026-09-07 04:26:22,memory_percent,45.6
2026-09-07 04:26:22,memory_used_mb,1784.0
2026-09-07 04:26:22,memory_available_mb,2132.0
2026-09-07 04:26:22,disk_read_per_sec,34857346.0
2026-09-07 04:26:22,disk_write_per_sec,0.0
2026-09-07 04:26:22,net_send_per_sec,52287.0
2026-09-07 04:26:22,net_recv_per_sec,147683.0
2026-09-07 04:26:22,load1,1.67
2026-09-07 04:26:22,load5,0.92
2026-09-07 04:26:22,load15,0.41
2026-09-07 04:26:22,active_sessions,21.0
2026-09-07 04:26:22,active_requests,10.0
2026-09-07 04:26:22,long_queries,8.0
2026-09-07 04:26:22,long_transactions,8.0
2026-09-07 04:26:22,idle_sessions,19.0
2026-09-07 04:26:22,lock_waits,0.0
2026-09-07 04:26:22,total_locks,13.0
2026-09-07 04:26:22,deadlocks_per_sec,0.0
2026-09-07 04:26:22,page_life_expectancy,285.0
2026-09-07 04:26:22,buffer_cache_hit_ratio,100.0
2026-09-07 04:26:22,database_size_mb,0.0
2026-09-07 04:26:22,total_reads,790.0
2026-09-07 04:26:22,total_writes,80.0
2026-09-07 04:26:22,venta_locks,0.0
2026-09-07 04:26:22,detalle_venta_locks,0.0
2026-09-07 04:26:22,inventario_locks,0.0
2026-09-07 04:26:22,kardex_locks,0.0
2026-09-07 04:26:22,caja_locks,0.0
2026-09-07 04:26:22,movimiento_caja_locks,0.0
2026-09-07 04:26:22,auditoria_locks,0.0
2026-09-07 04:26:22,api_status,200.0
2026-09-07 04:26:22,api_latency_ms,216.0
2026-09-07 04:26:22,products_count,732.0
2026-09-07 04:26:22,sales_count,0.0
2026-09-07 04:26:33,cpu_usr,52.6
2026-09-07 04:26:33,cpu_sys,21.2
2026-09-07 04:26:33,cpu_idl,21.5
2026-09-07 04:26:33,cpu_wai,0.2
2026-09-07 04:26:33,cpu_stl,0.0
2026-09-07 04:26:33,memory_percent,46.8
2026-09-07 04:26:33,memory_used_mb,1832.0
2026-09-07 04:26:33,memory_available_mb,2084.0
2026-09-07 04:26:33,disk_read_per_sec,4885187.0
2026-09-07 04:26:33,disk_write_per_sec,967644.0
2026-09-07 04:26:33,net_send_per_sec,7372.0
2026-09-07 04:26:33,net_recv_per_sec,44323.0
2026-09-07 04:26:33,load1,3.27
2026-09-07 04:26:33,load5,1.28
2026-09-07 04:26:33,load15,0.53
2026-09-07 04:26:33,active_sessions,22.0
2026-09-07 04:26:33,active_requests,10.0
2026-09-07 04:26:33,long_queries,8.0
2026-09-07 04:26:33,long_transactions,8.0
2026-09-07 04:26:33,idle_sessions,20.0
2026-09-07 04:26:33,lock_waits,0.0
2026-09-07 04:26:33,total_locks,13.0
2026-09-07 04:26:33,deadlocks_per_sec,0.0
2026-09-07 04:26:33,page_life_expectancy,296.0
2026-09-07 04:26:33,buffer_cache_hit_ratio,100.0
2026-09-07 04:26:33,transactions_per_sec,135.74
2026-09-07 04:26:33,page_reads_per_sec,0.0
2026-09-07 04:26:33,page_writes_per_sec,0.0
2026-09-07 04:26:33,rollbacks_per_sec,0.0
2026-09-07 04:26:33,batch_requests_per_sec,0.0
2026-09-07 04:26:33,sql_compilations_per_sec,0.0
2026-09-07 04:26:33,database_size_mb,0.0
2026-09-07 04:26:33,total_reads,793.0
2026-09-07 04:26:33,total_writes,84.0
2026-09-07 04:26:33,venta_locks,0.0
