fase,contamination,n_estimators,max_samples,max_features,prep,n_feats,subset,promocionable,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,0.001,300,auto,1.0,standard,17,17,directo,q01,108,52,1.0,0.2261,0.675,0.806,0.8462,108,6,1.0,0.0261,0.9474,0.973,0.9822
fase1,0.001,500,64,0.5,standard,17,17,directo,q10,108,127,1.0,0.5522,0.4596,0.6297,0.6243,108,88,1.0,0.3826,0.551,0.7105,0.7396
fase1,0.001,500,64,0.5,standard,17,17,directo,q05,108,109,1.0,0.4739,0.4977,0.6646,0.6775,108,69,1.0,0.3,0.6102,0.7579,0.7959
fase1,0.001,500,64,0.5,standard,17,17,directo,q01,108,27,1.0,0.1174,0.8,0.8889,0.9201,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,500,64,0.7,standard,17,17,directo,q10,108,142,1.0,0.6174,0.432,0.6034,0.5799,108,87,1.0,0.3783,0.5538,0.7129,0.7426
fase1,0.001,500,64,0.7,standard,17,17,directo,q05,108,100,1.0,0.4348,0.5192,0.6835,0.7041,108,59,1.0,0.2565,0.6467,0.7855,0.8254
fase1,0.001,500,64,0.7,standard,17,17,directo,q01,108,37,1.0,0.1609,0.7448,0.8538,0.8905,108,6,1.0,0.0261,0.9474,0.973,0.9822
fase1,0.001,500,64,1.0,standard,17,17,directo,q10,108,129,1.0,0.5609,0.4557,0.6261,0.6183,108,85,1.0,0.3696,0.5596,0.7176,0.7485
fase1,0.001,500,64,1.0,standard,17,17,directo,q05,108,103,1.0,0.4478,0.5118,0.6771,0.6953,108,62,1.0,0.2696,0.6353,0.777,0.8166
fase1,0.001,500,64,1.0,standard,17,17,directo,q01,108,41,1.0,0.1783,0.7248,0.8405,0.8787,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,500,128,0.5,standard,17,17,directo,q10,108,149,1.0,0.6478,0.4202,0.5918,0.5592,108,93,1.0,0.4043,0.5373,0.699,0.7249
fase1,0.001,500,128,0.5,standard,17,17,directo,q05,108,105,1.0,0.4565,0.507,0.6729,0.6893,108,82,1.0,0.3565,0.5684,0.7248,0.7574
fase1,0.001,500,128,0.5,standard,17,17,directo,q01,108,53,1.0,0.2304,0.6708,0.803,0.8432,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,500,128,0.7,standard,17,17,directo,q10,108,167,1.0,0.7261,0.3927,0.564,0.5059,108,95,1.0,0.413,0.532,0.6945,0.7189
fase1,0.001,500,128,0.7,standard,17,17,directo,q05,108,106,1.0,0.4609,0.5047,0.6708,0.6864,108,83,1.0,0.3609,0.5654,0.7224,0.7544
fase1,0.001,500,128,0.7,standard,17,17,directo,q01,108,54,1.0,0.2348,0.6667,0.8,0.8402,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,500,128,1.0,standard,17,17,directo,q10,108,149,1.0,0.6478,0.4202,0.5918,0.5592,108,93,1.0,0.4043,0.5373,0.699,0.7249
