columna,motivo,media_abs_corr
cpu_sys,correlación >= 0.85 con ['transactions_per_sec'],
disk_read_per_sec,correlación >= 0.85 con ['transactions_per_sec'],
total_writes,correlación >= 0.85 con ['transactions_per_sec'],
