run,inicio,fin,n
normal_alta_01,2026-09-23 11:25:29,2026-09-23 11:26:19,10
normal_alta_01,2026-09-23 11:25:34,2026-09-23 11:26:24,10
normal_alta_01,2026-09-23 11:25:40,2026-09-23 11:26:30,10
normal_alta_01,2026-09-23 11:25:46,2026-09-23 11:26:36,10
normal_alta_01,2026-09-23 11:25:51,2026-09-23 11:26:41,10
normal_alta_01,2026-09-23 11:25:57,2026-09-23 11:26:47,10
normal_alta_01,2026-09-23 11:26:03,2026-09-23 11:26:52,10
normal_alta_01,2026-09-23 11:26:08,2026-09-23 11:26:58,10
normal_alta_01,2026-09-23 11:26:14,2026-09-23 11:27:04,10
normal_alta_01,2026-09-23 11:26:19,2026-09-23 11:27:09,10
normal_alta_01,2026-09-23 11:26:24,2026-09-23 11:27:15,10
normal_alta_01,2026-09-23 11:26:30,2026-09-23 11:27:20,10
normal_alta_01,2026-09-23 11:26:36,2026-09-23 11:27:26,10
normal_alta_01,2026-09-23 11:26:41,2026-09-23 11:27:31,10
normal_alta_01,2026-09-23 11:26:47,2026-09-23 11:27:37,10
normal_alta_01,2026-09-23 11:26:52,2026-09-23 11:27:43,10
normal_alta_01,2026-09-23 11:26:58,2026-09-23 11:27:48,10
normal_alta_01,2026-09-23 11:27:04,2026-09-23 11:27:54,10
normal_alta_01,2026-09-23 11:27:09,2026-09-23 11:27:59,10
normal_alta_01,2026-09-23 11:27:15,2026-09-23 11:28:05,10
normal_alta_01,2026-09-23 11:27:20,2026-09-23 11:28:10,10
normal_alta_01,2026-09-23 11:27:26,2026-09-23 11:28:16,10
normal_alta_01,2026-09-23 11:27:31,2026-09-23 11:28:21,10
normal_alta_01,2026-09-23 11:27:37,2026-09-23 11:28:27,10
normal_alta_01,2026-09-23 11:27:43,2026-09-23 11:28:32,10
normal_alta_01,2026-09-23 11:27:48,2026-09-23 11:28:38,10
normal_alta_01,2026-09-23 11:27:54,2026-09-23 11:28:44,10
normal_alta_01,2026-09-23 11:27:59,2026-09-23 11:28:49,10
normal_alta_01,2026-09-23 11:28:05,2026-09-23 11:28:55,10
normal_alta_01,2026-09-23 11:28:10,2026-09-23 11:29:00,10
normal_alta_01,2026-09-23 11:28:16,2026-09-23 11:29:06,10
normal_alta_01,2026-09-23 11:28:21,2026-09-23 11:29:11,10
normal_alta_01,2026-09-23 11:28:27,2026-09-23 11:29:17,10
normal_alta_01,2026-09-23 11:28:32,2026-09-23 11:29:22,10
normal_alta_01,2026-09-23 11:28:38,2026-09-23 11:29:28,10
normal_alta_01,2026-09-23 11:28:44,2026-09-23 11:29:33,10
normal_alta_01,2026-09-23 11:28:49,2026-09-23 11:29:39,10
normal_alta_01,2026-09-23 11:28:55,2026-09-23 11:29:44,10
normal_alta_01,2026-09-23 11:29:00,2026-09-23 11:29:50,10
normal_alta_01,2026-09-23 11:29:06,2026-09-23 11:29:56,10
normal_alta_01,2026-09-23 11:29:11,2026-09-23 11:30:01,10
normal_alta_01,2026-09-23 11:29:17,2026-09-23 11:30:07,10
normal_alta_01,2026-09-23 11:29:22,2026-09-23 11:30:12,10
normal_alta_01,2026-09-23 11:29:28,2026-09-23 11:30:18,10
normal_alta_01,2026-09-23 11:29:33,2026-09-23 11:30:23,10
normal_alta_01,2026-09-23 11:29:39,2026-09-23 11:30:29,10
normal_alta_01,2026-09-23 11:29:44,2026-09-23 11:30:34,10
normal_baja_02,2026-09-23 11:09:47,2026-09-23 11:10:35,10
normal_baja_02,2026-09-23 11:09:53,2026-09-23 11:10:40,10
normal_baja_02,2026-09-23 11:09:58,2026-09-23 11:10:45,10
normal_baja_02,2026-09-23 11:10:03,2026-09-23 11:10:50,10
normal_baja_02,2026-09-23 11:10:08,2026-09-23 11:10:55,10
normal_baja_02,2026-09-23 11:10:14,2026-09-23 11:11:01,10
normal_baja_02,2026-09-23 11:10:19,2026-09-23 11:11:06,10
normal_baja_02,2026-09-23 11:10:24,2026-09-23 11:11:11,10
normal_baja_02,2026-09-23 11:10:29,2026-09-23 11:11:17,10
normal_baja_02,2026-09-23 11:10:35,2026-09-23 11:11:22,10
normal_baja_02,2026-09-23 11:10:40,2026-09-23 11:11:27,10
normal_baja_02,2026-09-23 11:10:45,2026-09-23 11:11:32,10
normal_baja_02,2026-09-23 11:10:50,2026-09-23 11:11:37,10
normal_baja_02,2026-09-23 11:10:55,2026-09-23 11:11:43,10
normal_baja_02,2026-09-23 11:11:01,2026-09-23 11:11:48,10
normal_baja_02,2026-09-23 11:11:06,2026-09-23 11:11:53,10
normal_baja_02,2026-09-23 11:11:11,2026-09-23 11:11:58,10
normal_baja_02,2026-09-23 11:11:17,2026-09-23 11:12:04,10
normal_baja_02,2026-09-23 11:11:22,2026-09-23 11:12:09,10
normal_baja_02,2026-09-23 11:11:27,2026-09-23 11:12:14,10
normal_baja_02,2026-09-23 11:11:32,2026-09-23 11:12:19,10
normal_baja_02,2026-09-23 11:11:37,2026-09-23 11:12:24,10
normal_baja_02,2026-09-23 11:11:43,2026-09-23 11:12:30,10
normal_baja_02,2026-09-23 11:11:48,2026-09-23 11:12:35,10
normal_baja_02,2026-09-23 11:11:53,2026-09-23 11:12:40,10
normal_baja_02,2026-09-23 11:11:58,2026-09-23 11:12:45,10
normal_baja_02,2026-09-23 11:12:04,2026-09-23 11:12:50,10
normal_baja_02,2026-09-23 11:12:09,2026-09-23 11:12:56,10
normal_baja_02,2026-09-23 11:12:14,2026-09-23 11:13:01,10
normal_baja_02,2026-09-23 11:12:19,2026-09-23 11:13:06,10
normal_baja_02,2026-09-23 11:12:24,2026-09-23 11:13:11,10
normal_baja_02,2026-09-23 11:12:30,2026-09-23 11:13:17,10
normal_baja_02,2026-09-23 11:12:35,2026-09-23 11:13:22,10
normal_baja_02,2026-09-23 11:12:40,2026-09-23 11:13:27,10
normal_baja_02,2026-09-23 11:12:45,2026-09-23 11:13:32,10
normal_baja_02,2026-09-23 11:12:50,2026-09-23 11:13:38,10
normal_baja_02,2026-09-23 11:12:56,2026-09-23 11:13:43,10
normal_baja_02,2026-09-23 11:13:01,2026-09-23 11:13:48,10
normal_baja_02,2026-09-23 11:13:06,2026-09-23 11:13:53,10
normal_baja_02,2026-09-23 11:13:11,2026-09-23 11:13:58,10
normal_baja_02,2026-09-23 11:13:17,2026-09-23 11:14:04,10
normal_baja_02,2026-09-23 11:13:22,2026-09-23 11:14:09,10
normal_baja_02,2026-09-23 11:13:27,2026-09-23 11:14:14,10
normal_baja_02,2026-09-23 11:13:32,2026-09-23 11:14:19,10
normal_baja_02,2026-09-23 11:13:38,2026-09-23 11:14:25,10
normal_baja_02,2026-09-23 11:13:43,2026-09-23 11:14:30,10
normal_baja_02,2026-09-23 11:13:48,2026-09-23 11:14:35,10
normal_baja_02,2026-09-23 11:13:53,2026-09-23 11:14:40,10
normal_baja_02,2026-09-23 11:13:58,2026-09-23 11:14:45,10
normal_baja_02,2026-09-23 11:14:04,2026-09-23 11:14:51,10
normal_baja_02,2026-09-23 11:14:09,2026-09-23 11:14:56,10
normal_larga_01,2026-09-23 11:30:39,2026-09-23 11:31:27,10
normal_larga_01,2026-09-23 11:30:45,2026-09-23 11:31:32,10
normal_larga_01,2026-09-23 11:30:50,2026-09-23 11:31:38,10
normal_larga_01,2026-09-23 11:30:55,2026-09-23 11:31:43,10
normal_larga_01,2026-09-23 11:31:01,2026-09-23 11:31:48,10
normal_larga_01,2026-09-23 11:31:06,2026-09-23 11:31:53,10
normal_larga_01,2026-09-23 11:31:11,2026-09-23 11:31:59,10
normal_larga_01,2026-09-23 11:31:16,2026-09-23 11:32:04,10
normal_larga_01,2026-09-23 11:31:22,2026-09-23 11:32:09,10
normal_larga_01,2026-09-23 11:31:27,2026-09-23 11:32:15,10
normal_larga_01,2026-09-23 11:31:32,2026-09-23 11:32:20,10
normal_larga_01,2026-09-23 11:31:38,2026-09-23 11:32:25,10
normal_larga_01,2026-09-23 11:31:43,2026-09-23 11:32:30,10
normal_larga_01,2026-09-23 11:31:48,2026-09-23 11:32:36,10
normal_larga_01,2026-09-23 11:31:53,2026-09-23 11:32:41,10
normal_larga_01,2026-09-23 11:31:59,2026-09-23 11:32:46,10
normal_larga_01,2026-09-23 11:32:04,2026-09-23 11:32:52,10
normal_larga_01,2026-09-23 11:32:09,2026-09-23 11:32:57,10
normal_larga_01,2026-09-23 11:32:15,2026-09-23 11:33:02,10
normal_larga_01,2026-09-23 11:32:20,2026-09-23 11:33:07,10
normal_larga_01,2026-09-23 11:32:25,2026-09-23 11:33:13,10
normal_larga_01,2026-09-23 11:32:30,2026-09-23 11:33:18,10
normal_larga_01,2026-09-23 11:32:36,2026-09-23 11:33:23,10
normal_larga_01,2026-09-23 11:32:41,2026-09-23 11:33:29,10
normal_larga_01,2026-09-23 11:32:46,2026-09-23 11:33:34,10
normal_larga_01,2026-09-23 11:32:52,2026-09-23 11:33:39,10
normal_larga_01,2026-09-23 11:32:57,2026-09-23 11:33:45,10
normal_larga_01,2026-09-23 11:33:02,2026-09-23 11:33:50,10
normal_larga_01,2026-09-23 11:33:07,2026-09-23 11:33:55,10
normal_larga_01,2026-09-23 11:33:13,2026-09-23 11:34:01,10
normal_larga_01,2026-09-23 11:33:18,2026-09-23 11:34:06,10
normal_larga_01,2026-09-23 11:33:23,2026-09-23 11:34:11,10
normal_larga_01,2026-09-23 11:33:29,2026-09-23 11:34:17,10
normal_larga_01,2026-09-23 11:33:34,2026-09-23 11:34:22,10
normal_larga_01,2026-09-23 11:33:39,2026-09-23 11:34:27,10
normal_larga_01,2026-09-23 11:33:45,2026-09-23 11:34:33,10
normal_larga_01,2026-09-23 11:33:50,2026-09-23 11:34:38,10
normal_larga_01,2026-09-23 11:33:55,2026-09-23 11:34:43,10
normal_larga_01,2026-09-23 11:34:01,2026-09-23 11:34:48,10
normal_larga_01,2026-09-23 11:34:06,2026-09-23 11:34:54,10
normal_larga_01,2026-09-23 11:34:11,2026-09-23 11:34:59,10
normal_larga_01,2026-09-23 11:34:17,2026-09-23 11:35:04,10
normal_larga_01,2026-09-23 11:34:22,2026-09-23 11:35:10,10
normal_larga_01,2026-09-23 11:34:27,2026-09-23 11:35:15,10
normal_larga_01,2026-09-23 11:34:33,2026-09-23 11:35:20,10
normal_larga_01,2026-09-23 11:34:38,2026-09-23 11:35:26,10
normal_larga_01,2026-09-23 11:34:43,2026-09-23 11:35:31,10
normal_larga_01,2026-09-23 11:34:48,2026-09-23 11:35:36,10
normal_larga_01,2026-09-23 11:34:54,2026-09-23 11:35:41,10
normal_larga_01,2026-09-23 11:34:59,2026-09-23 11:35:47,10
normal_larga_01,2026-09-23 11:35:04,2026-09-23 11:35:52,10
normal_larga_01,2026-09-23 11:35:10,2026-09-23 11:35:57,10
normal_larga_01,2026-09-23 11:35:15,2026-09-23 11:36:03,10
normal_larga_01,2026-09-23 11:35:20,2026-09-23 11:36:08,10
normal_larga_01,2026-09-23 11:35:26,2026-09-23 11:36:13,10
normal_larga_01,2026-09-23 11:35:31,2026-09-23 11:36:19,10
normal_larga_01,2026-09-23 11:35:36,2026-09-23 11:36:24,10
normal_larga_01,2026-09-23 11:35:41,2026-09-23 11:36:29,10
normal_larga_01,2026-09-23 11:35:47,2026-09-23 11:36:34,10
normal_larga_01,2026-09-23 11:35:52,2026-09-23 11:36:40,10
normal_larga_01,2026-09-23 11:35:57,2026-09-23 11:36:45,10
normal_larga_01,2026-09-23 11:36:03,2026-09-23 11:36:50,10
normal_larga_01,2026-09-23 11:36:08,2026-09-23 11:36:56,10
normal_larga_01,2026-09-23 11:36:13,2026-09-23 11:37:01,10
normal_larga_01,2026-09-23 11:36:19,2026-09-23 11:37:06,10
normal_larga_01,2026-09-23 11:36:24,2026-09-23 11:37:12,10
normal_larga_01,2026-09-23 11:36:29,2026-09-23 11:37:17,10
normal_larga_01,2026-09-23 11:36:34,2026-09-23 11:37:22,10
normal_larga_01,2026-09-23 11:36:40,2026-09-23 11:37:28,10
normal_larga_01,2026-09-23 11:36:45,2026-09-23 11:37:33,10
normal_larga_01,2026-09-23 11:36:50,2026-09-23 11:37:38,10
normal_larga_01,2026-09-23 11:36:56,2026-09-23 11:37:44,10
normal_larga_01,2026-09-23 11:37:01,2026-09-23 11:37:49,10
normal_media_02,2026-09-23 11:20:18,2026-09-23 11:21:06,10
normal_media_02,2026-09-23 11:20:24,2026-09-23 11:21:11,10
