columna,p90,p95,p99
active_requests,0.8171976635565121,1.218751687890315,1.5399949073573589
active_sessions,0.3919314055216814,0.4195117636880214,0.6180903424856743
api_latency_ms,-0.1913531424933297,0.27526973253244824,3.357581082857595
cpu_time_sum_ms,0.0,0.0,0.0
cpu_usr,0.8429334121596437,1.4269103318159229,2.925113187761703
cpu_wai,0.0,0.0,0.0
deadlocks_per_sec,0.0,0.0,0.0
disk_write_per_sec,0.5483843861464831,0.8765103651678641,2.4250631449833326
duration_avg_ms,0.0,0.0,0.0
duration_max_ms,0.0,0.0,0.0
error_count,0.0,0.0,0.0
load1,1.5212561006619232,1.6803864935740054,1.992860719655915
lock_waits,1.0425202378933687,2.190803398471574,2.190803398471574
memory_percent,0.9644360624457282,1.207678786159902,1.4022729651312422
page_life_expectancy,1.289318711663396,1.4405351037720655,1.561508217459002
query_count,0.0,0.0,0.0
total_reads,-0.22941573387056174,0.20647416048349626,3.3448813998327913
transactions_per_sec,0.5869188444527792,0.6975383585036553,0.7232644325070537
wait_log_count,0.0,0.0,0.0
