columna,importancia
transactions_per_sec,0.006150766157724917
cpu_time_sum_ms,0.006077226254594789
long_transactions,0.00606688338693397
cpu_wai,0.0056820804867280875
api_status,0.005640453728127083
total_reads,0.005346204620503443
memory_used_mb,0.005236659805958298
active_sessions,0.0051455839157166705
disk_read_per_sec,0.004940533787187918
cpu_usr,0.00482916571079152
page_life_expectancy,0.004572881277333649
duration_avg_ms,0.004447817508663726
memory_available_mb,0.004278856391214306
total_writes,0.004244186770237147
disk_write_per_sec,0.004125473297947784
duration_max_ms,0.004045097471026496
active_requests,0.003859028186810092
load1,0.003702696890152456
cpu_sys,0.003604986900277348
api_latency_ms,0.0031643965445427476
long_queries,0.002438100027627443
cpu_idl,0.002400920879900106
