tipo,inicio,fin
lockwait,2026-09-11 03:52:47,2026-09-11 03:53:04
fault1,2026-09-11 03:53:20,2026-09-11 03:53:37
fault2,2026-09-11 03:53:53,2026-09-11 03:54:11
fault5,2026-09-11 03:54:27,2026-09-11 03:54:44
fault3,2026-09-11 03:55:00,2026-09-11 03:55:12
