columna,importancia
page_life_expectancy,0.00686613716529713
wait_io_count,0.005754195190377092
memory_percent,0.005709398901078121
total_reads,0.005606717612084383
cpu_time_sum_ms,0.005416288804949909
wait_lck_count,0.0053265322147239
cpu_usr,0.005210693129360572
disk_read_per_sec,0.004900827762708814
total_writes,0.004843133021143013
cpu_wai,0.004811216957352453
duration_avg_ms,0.00478746857842927
active_requests,0.004778165932340131
api_latency_ms,0.00460754778327519
lock_waits,0.004514367892353677
transactions_per_sec,0.0044254334313481285
query_count,0.004359635368391162
active_sessions,0.0039544080376077515
wait_log_count,0.003909158091834944
disk_write_per_sec,0.003788455567810775
load1,0.0032566381719741793
cpu_sys,0.0031735803855594013
