columna,p90,p95,p99
active_requests,1.1729901117792743,1.4494272718801222,1.9600871310353454
active_sessions,1.0504514628777804,1.333537951422656,2.0555720302358114
api_latency_ms,0.7789674241565442,0.809422530368411,3.1215290803031337
cpu_sys,1.1460826760708678,1.797088650828583,3.1655785408123025
cpu_time_sum_ms,0.9886948386733999,2.2399934097169716,4.054680164200046
cpu_usr,0.9034153364091754,1.1160604846306945,2.4672997842456867
cpu_wai,0.9670657753819405,1.4819697820505715,3.6605467661091
disk_read_per_sec,-0.06112326611356414,1.108376629851868,3.7905903512988592
disk_write_per_sec,0.9415775527683787,1.6964756062117141,3.8667849943670936
duration_avg_ms,0.2061495607710691,1.483694916178644,2.3077340232591568
load1,0.8075722330617946,1.8303228359206911,3.6961230671747063
lock_waits,0.0,0.0,2.8534602914800264
memory_percent,0.8401547894087407,1.1546698439957568,1.7535665989450473
page_life_expectancy,1.4721103916241167,1.7553636815289801,2.056723172117496
query_count,1.2511873917554983,1.4351667384554452,3.073131107120392
total_reads,-0.04956815970966097,-0.04956815970966097,3.489839370578639
total_writes,0.05724412229703654,0.6317007223688659,3.408583551582996
transactions_per_sec,1.3670201645835571,1.7676597848605193,3.2187829744784584
wait_io_count,0.0,0.0,2.3565885707883294
wait_lck_count,0.0,0.0,3.09170341961784
wait_log_count,0.0,0.0,3.352505803529856
