event_name,timestamp,session_id,login_name,program_name,database_name,_linea,resource_type,mode,severity,error_number,message,process_type
login,2026-09-11 08:50:38.376,78.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 78, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:50:38.376,80.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 80, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:50:38.376,81.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 81, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:50:38.376,82.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 82, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:50:38.376,83.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 83, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:50:38.376,84.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 84, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,77.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 77, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,80.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 80, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,84.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 84, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,77.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 77, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,83.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 83, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,83.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 83, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,81.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 81, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,83.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 83, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,81.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 81, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,82.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 82, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,82.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 82, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,77.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 77, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,82.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 82, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,77.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 77, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,78.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 78, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,78.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 78, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,81.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 81, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,80.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 80, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,84.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 84, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,78.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 78, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,80.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 80, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:38.376,84.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:38.376"", ""session_id"": 84, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:53.468,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 76, ""resource_type"": ""PAGE"", ""mode"": ""S""}",PAGE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:53.468,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 76, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,77.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 77, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,81.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 81, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,80.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 80, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,78.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 78, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,81.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 81, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,84.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 84, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,84.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 84, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,82.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 82, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,77.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 77, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,78.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 78, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,80.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 80, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,83.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 83, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,82.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 82, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,77.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 77, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:53.468,83.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:53.468"", ""session_id"": 83, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:58.482,76.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:58.482"", ""session_id"": 76, ""resource_type"": ""PAGE"", ""mode"": ""S""}",PAGE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:03.510,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:03.510"", ""session_id"": 76, ""resource_type"": ""PAGE"", ""mode"": ""IS""}",PAGE,IS,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:03.510,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:03.510"", ""session_id"": 76, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:51:03.510,76.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:51:03.510"", ""session_id"": 76, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
xml_deadlock_report,2026-09-11 08:51:08.550,0.0,0,0,SteelNort,"{""event_name"": ""xml_deadlock_report"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""database_name"": ""SteelNort"", ""severity"": 13, ""error_number"": 1205, ""message"": ""Deadlock detected""}",0,0,13.0,1205.0,Deadlock detected,UNKNOWN
login,2026-09-11 08:51:08.550,94.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 94, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:51:08.550,93.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 93, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:51:08.550,85.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 85, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:51:08.550,86.0,sa,SteelNortCargaAnomalia,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 86, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaAnomalia"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,77.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 77, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,80.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 80, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,94.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 94, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,82.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 82, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,86.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 86, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,86.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 86, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,93.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 93, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,77.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 77, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,85.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 85, ""resource_type"": ""PAGE"", ""mode"": ""IS""}",PAGE,IS,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,78.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 78, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,86.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 86, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,85.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 85, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,85.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 85, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,80.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 80, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,82.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 82, ""resource_type"": ""PAGE"", ""mode"": ""IS""}",PAGE,IS,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,94.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 94, ""resource_type"": ""PAGE"", ""mode"": ""IS""}",PAGE,IS,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,86.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 86, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,93.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 93, ""resource_type"": ""PAGE"", ""mode"": ""IS""}",PAGE,IS,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,94.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 94, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,94.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 94, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,77.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 77, ""resource_type"": ""KEY"", ""mode"": ""U""}",KEY,U,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,78.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 78, ""resource_type"": ""PAGE"", ""mode"": ""IS""}",PAGE,IS,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:51:08.550,93.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:51:08.550"", ""session_id"": 93, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
