idx,run,score,prediccion
0,8,-7.14709132253466e-05,-1
1,8,0.020090447946455536,1
2,8,0.010455893456545073,1
3,8,0.008045655170998423,1
4,8,0.004252891050460006,1
5,8,0.0004046500448671164,1
6,8,0.0002911553086167862,1
7,8,0.00034397409721442784,1
8,8,-0.0001486945493022196,-1
9,8,7.572264351973779e-05,1
10,carga20,0.00013362146949857934,1
11,carga20,0.0761962114359438,1
12,carga20,0.14794072596377517,1
13,carga20,0.09256072947204053,1
14,carga20,0.07710977861144308,1
15,carga20,0.08084844283730042,1
16,carga20,0.11466355404024464,1
17,carga20,0.10865153918033288,1
18,carga20,0.12859290144413416,1
19,carga20,0.12312283079589526,1
20,carga20,0.11997168498739552,1
21,carga20,0.11993618374059178,1
22,carga20,0.12523165884398846,1
23,carga20,0.22726125632426153,1
24,carga20,0.24212543111048757,1
25,carga20,0.20335410868153347,1
26,carga20,0.222985625358194,1
27,carga20,0.22186843563279934,1
28,carga20,0.22422751643390126,1
29,carga20,0.2301123678360727,1
30,carga20,0.22401390531173027,1
31,carga20,0.17869396284425987,1
32,carga20,0.1801284329021705,1
33,carga20,0.1711835062289997,1
34,carga20,0.1759119269484679,1
35,carga20,0.17993001058820335,1
36,carga20,0.15538121256155102,1
37,carga20,0.19010109330500058,1
38,carga20,0.1725834674648149,1
39,carga20,0.13942341966860072,1
40,carga20,0.17902986253781605,1
41,carga20,0.21152713450483207,1
42,carga20,0.2038023982278454,1
43,carga20,0.18332961006355486,1
44,carga20,0.1526801196348312,1
45,carga20,0.15389658155475694,1
46,carga20,0.16018990463918448,1
47,carga20,0.15987069599719805,1
48,carga20,0.16987109798184918,1
49,carga20,0.17198567224290584,1
50,carga20,0.17814824748028335,1
51,carga20,0.169945202587087,1
52,carga20,0.13660843719452975,1
53,carga20,0.14487936009651814,1
54,carga20,0.15485132951178515,1
55,carga20,0.15094733331502352,1
56,carga20,0.14040080887818962,1
57,carga20,0.13445056171109504,1
58,carga20,0.13601801885392129,1
59,carga20,0.14246808554370916,1
