idx,run,score,prediccion
0,8,-0.05489933080284448,-1
1,8,0.14355035216595557,1
2,8,0.09680666092188628,1
3,8,0.11146552159898437,1
4,8,0.0992032746050755,1
5,8,0.04160714702089896,1
6,8,0.0430562919047337,1
7,8,0.059884867644040884,1
8,8,0.060168100838152494,1
9,8,0.009994925817992328,1
10,carga20,-0.5679384389590112,-1
11,carga20,0.1786027800827188,1
12,carga20,0.368062977232243,1
13,carga20,0.31940362255008026,1
14,carga20,0.3254355639980009,1
15,carga20,0.32585637692673664,1
16,carga20,0.3602267128326635,1
17,carga20,0.3511762164641161,1
18,carga20,0.35414840567965244,1
19,carga20,0.3556233507416726,1
20,carga20,0.358055802671007,1
21,carga20,0.3578497029592931,1
22,carga20,0.36843324564513,1
23,carga20,0.468981871943873,1
24,carga20,0.4805780471014427,1
25,carga20,0.47008583005920523,1
26,carga20,0.4617637051491523,1
27,carga20,0.45501446637910137,1
28,carga20,0.4454723829295293,1
29,carga20,0.44323522583895136,1
30,carga20,0.4291336497244338,1
31,carga20,0.3855845901633794,1
32,carga20,0.36184958447883897,1
33,carga20,0.3387103391787276,1
34,carga20,0.3147576907079128,1
35,carga20,0.3121459847021557,1
36,carga20,0.30641663971972144,1
37,carga20,0.2952576834861882,1
38,carga20,0.2852634309469444,1
39,carga20,0.2629056791140769,1
40,carga20,0.2579203074847187,1
41,carga20,0.3700043116686167,1
42,carga20,0.40847325966927284,1
43,carga20,0.44450232899444897,1
44,carga20,0.4578298735349702,1
45,carga20,0.471169904257847,1
46,carga20,0.4690019698917445,1
47,carga20,0.47112344230983094,1
48,carga20,0.46526753719552305,1
49,carga20,0.4672726877005964,1
50,carga20,0.46813411173460917,1
51,carga20,0.4767937775062818,1
52,carga20,0.45838129539660843,1
53,carga20,0.4556138979000306,1
54,carga20,0.4562838706833985,1
55,carga20,0.46316719058840494,1
56,carga20,0.46588429896452244,1
57,carga20,0.46179111596901534,1
58,carga20,0.47302051030061754,1
59,carga20,0.4657962717978019,1
60,carga20,0.4607850275666505,1
61,carga20,0.45985909431843575,1
62,carga20,0.46007361930212953,1
63,carga20,0.47051487554369387,1
64,carga20,0.49346166875176656,1
65,carga20,0.5086962845463704,1
66,carga20,0.5131713104472411,1
67,carga20,0.5148766212606587,1
68,carga20,0.5112927253969329,1
69,carga20,0.5069083158150438,1
70,carga20,0.5069207351931744,1
71,carga20,0.5083614603519743,1
72,carga20,0.5069083158150436,1
73,carga20,0.5069207351931746,1
74,carga20,0.5069207351931746,1
75,carga20,0.5069207351931746,1
76,carga20,0.5071902089489102,1
77,carga20,0.50825372016799,1
78,carga20,0.5071902089489102,1
79,carga20,0.5101540189189375,1
80,carga20,0.5118686519929747,1
81,carga20,0.5080851275151539,1
82,carga20,0.5083445337709313,1
83,carga20,0.50719020894891,1
84,carga20,0.50719020894891,1
85,carga20,0.5069207351931746,1
86,carga20,0.5069207351931746,1
87,carga20,0.5069207351931746,1
88,carga20,0.5083614603519743,1
89,carga20,0.5076538759431563,1
90,carga20,0.5064825897502955,1
91,carga20,0.5105039989432527,1
92,carga20,0.5131706670492436,1
93,carga20,0.5165691574974431,1
94,carga20,0.5165691574974429,1
95,carga20,0.5171110234071292,1
96,carga20,0.5076557502434856,1
97,carga20,0.47504151204011436,1
98,carga20,0.47004644378874705,1
99,carga20,0.45804922330144926,1
100,carga20,0.45985073211297944,1
101,carga20,0.45767734658994996,1
102,carga20,0.40552281232961396,1
103,carga20,0.18214727278229104,1
104,carga20,0.06548939845204282,1
105,carga20,0.05728084734125649,1
106,carga20,0.10749950870841452,1
107,carga20,0.12876180009692684,1
108,carga20,0.19248334148569746,1
109,carga20,0.2014538739110978,1
110,carga20,0.19649772174515667,1
111,carga20,0.19234186579638823,1
112,carga20,0.21422349386126904,1
113,carga20,0.2534165894796141,1
114,carga20,0.32959991150884393,1
115,carga20,0.3458136311382489,1
116,carga20,0.35400106777266904,1
117,carga20,0.35822351131723273,1
118,carga20,0.36153435742016793,1
119,carga20,0.3272548060068141,1
120,carga20,0.3088538523535038,1
121,carga20,0.33821349265820455,1
122,carga20,0.33914903355432213,1
123,carga20,0.29918740647909625,1
124,carga20,0.3003111511535643,1
125,carga20,0.3418939044815792,1
126,carga20,0.23637334455030268,1
127,carga20,0.24193310564458437,1
128,carga20,0.26857219962868895,1
129,carga20,0.3487326583906558,1
130,carga20,0.35904102498191226,1
131,carga20,0.1462613822723806,1
132,carga20,0.15440349335853276,1
133,carga20,0.15969348342854128,1
134,carga20,0.168215659493258,1
135,carga20,0.18673823857726846,1
136,carga20,0.31438627658961615,1
137,carga20,0.3120566371601634,1
138,carga20,0.31487217749097574,1
139,carga20,0.29288533095562497,1
140,carga20,0.28463036729745417,1
141,carga20,0.493102991200695,1
142,carga20,0.49338664292174284,1
143,carga20,0.4908648276486087,1
144,carga20,0.4869113110694814,1
145,carga20,0.1395932424543025,1
146,carga20,-0.016496704387477523,-1
147,carga20,-0.07455840373266787,-1
148,carga20,-0.06876440949274043,-1
149,carga20,-0.03596187991070332,-1
150,carga20,0.025309553114871042,1
151,carga20,0.10995431610642359,1
152,carga20,0.20098371290751627,1
153,carga20,0.282191420563247,1
154,carga20,0.30315874537054643,1
155,carga20,0.38586854905604073,1
156,carga20,0.4069202788409678,1
157,carga20,0.39638083264402146,1
158,carga20,0.39176429278332026,1
159,carga20,0.41033177182386527,1
160,carga20,0.3672582717570536,1
161,carga20,0.37822806072652426,1
162,carga20,0.37115059714532106,1
163,carga20,0.36316494478031647,1
164,carga20,0.3887061278037123,1
165,carga20,0.3913953314578895,1
166,carga20,0.3961959031565847,1
167,carga20,0.3992077659603157,1
168,carga20,0.40702275071999283,1
169,carga20,0.3055695882816891,1
170,carga18,-4.113405236646653,-1
171,carga18,-2.0053136964979705,-1
172,carga18,0.014986484050927062,1
173,carga18,0.013239152342527483,1
174,carga18,0.16578298040388328,1
175,carga18,0.1583307212003986,1
176,carga18,0.17249435017669712,1
177,carga18,0.19762153907756197,1
178,carga18,0.21877160078700553,1
179,carga18,0.2170719947466051,1
180,carga18,0.25264018114544395,1
181,carga18,0.004554596262834387,1
182,carga18,-0.005504402153456267,-1
183,carga18,-0.030843957417047152,-1
184,carga18,-0.08202240289700313,-1
185,carga18,-0.4365098500781588,-1
186,carga19,-0.21046070853649135,-1
187,carga19,0.1211777163181631,1
188,carga19,0.3211408999928318,1
189,carga19,0.3720669917745465,1
190,carga19,0.4176471867094864,1
191,carga19,0.41845158339588995,1
192,carga19,0.4155203511497174,1
193,carga19,0.4188581063409995,1
194,carga19,0.41601769122492227,1
195,carga19,0.4248308617131735,1
196,carga19,0.42466193617110615,1
197,carga19,0.4331518024645198,1
198,carga19,0.4405241884713871,1
199,carga19,0.4462339236863391,1
200,carga19,0.443180792512716,1
201,carga19,0.36078433739890303,1
202,carga11,-4.366090390264751,-1
203,carga11,-2.2004364940417127,-1
204,carga11,-1.7346346265828978,-1
205,carga11,-1.9490148005734418,-1
206,carga11,-1.8071516164404682,-1
207,carga11,-1.5887075906030046,-1
208,carga11,-1.685363581602481,-1
209,carga11,-1.6865954912482253,-1
210,10,-0.8618593529904168,-1
211,10,-0.6685619847376767,-1
