columna,importancia
page_life_expectancy,0.05736252283310728
cpu_wai,0.05642602260778325
duration_avg_ms,0.05381155960731064
total_writes,0.05171987731588139
api_status,0.050995452847586054
active_requests,0.03430969584103806
cpu_usr,0.033523234734216915
long_queries,0.02727775847496865
disk_write_per_sec,0.025955029579914562
cpu_time_sum_ms,0.023433478204413587
transactions_per_sec,0.006833604509074646
long_transactions,0.006662635296274147
total_reads,0.0065175321215753005
memory_available_mb,0.005750114216975036
load1,0.005378060250622454
active_sessions,0.004866361761988002
cpu_sys,0.0033641138515918103
api_latency_ms,0.0022104126578880567
disk_read_per_sec,0.000605033017407237
