idx,run,score,prediccion
0,8,226.25883801558592,1
1,8,228.28382447607368,1
2,8,249.97736420362156,1
3,8,235.88517233983924,1
4,8,249.32640635291267,1
5,8,238.71537830871617,1
6,8,236.58886326995028,1
7,8,236.88564828992762,1
8,8,238.03112860735808,1
9,8,223.44806618496244,1
10,carga20,229.85651049125812,1
11,carga20,248.20886183694387,1
12,carga20,251.71018415137866,1
13,carga20,244.91667966446002,1
14,carga20,21.40429684896202,1
15,carga20,249.21348571956008,1
16,carga20,251.80788316236743,1
17,carga20,252.06237938360704,1
18,carga20,264.1758801905434,1
19,carga20,265.3028597336658,1
20,carga20,276.0975248045332,1
21,carga20,271.80840625308474,1
22,carga20,275.26274377714816,1
23,carga20,302.8816968619127,1
24,carga20,311.21742601398853,1
25,carga20,311.9882469277201,1
26,carga20,278.77110113203565,1
27,carga20,283.33958882292893,1
28,carga20,281.1385672546521,1
29,carga20,274.9285140259343,1
30,carga20,271.5701543342602,1
31,carga20,258.4735500277647,1
32,carga20,250.16585319441123,1
33,carga20,242.9802239149564,1
34,carga20,242.0409928896674,1
35,carga20,238.3865271928186,1
36,carga20,223.13772201863569,1
37,carga20,194.24335760901852,1
38,carga20,201.93384745059382,1
39,carga20,202.27283738745746,1
40,carga20,257.483431945419,1
41,carga20,289.8372768134563,1
42,carga20,280.0217878514604,1
43,carga20,284.91608102086366,1
44,carga20,281.60721372047266,1
45,carga20,287.2803475097592,1
46,carga20,291.99559754720383,1
47,carga20,292.56492737757225,1
48,carga20,301.36740688510764,1
49,carga20,304.9095034948145,1
50,carga20,296.95978640336955,1
51,carga20,294.68155279618423,1
52,carga20,276.68606580292635,1
53,carga20,288.5710147488832,1
54,carga20,280.797307431627,1
55,carga20,270.08642950359183,1
56,carga20,283.9262990184652,1
57,carga20,289.3837222258667,1
58,carga20,288.67534006425876,1
59,carga20,291.31683392426805,1
60,carga20,265.19136588726076,1
61,carga20,266.89234559556405,1
62,carga20,270.8070655099607,1
63,carga20,274.96781627230666,1
64,carga20,280.62356045742087,1
65,carga20,282.5195773857037,1
66,carga20,277.75060779051597,1
67,carga20,273.94167517318687,1
68,carga20,289.5319851216842,1
69,carga20,306.34978255424227,1
70,carga20,312.74869395156634,1
71,carga20,316.86498231516765,1
72,carga20,307.80240702670665,1
73,carga20,313.23812652871396,1
74,carga20,315.0212247579315,1
75,carga20,311.1796379523262,1
76,carga20,310.398587433457,1
77,carga20,313.4806743671437,1
78,carga20,311.7672782515162,1
79,carga20,318.97196648970146,1
