columna,importancia
total_writes,0.006275918234523392
lock_waits,0.005718364618778718
load1,0.005572077678830014
total_reads,0.005490095571358147
cpu_sys,0.005438969585243243
api_latency_ms,0.005398100537702832
page_life_expectancy,0.005266515530989499
cpu_usr,0.005260385910186798
transactions_per_sec,0.005148630163396671
memory_percent,0.004901335024567658
error_count,0.004882122059586343
cpu_wai,0.004831540134570188
disk_write_per_sec,0.00469549227727188
duration_max_ms,0.004652497993121774
cpu_time_sum_ms,0.004641163619763619
active_sessions,0.0046106934576576
deadlocks_per_sec,0.0045496349526072104
disk_read_per_sec,0.00452577445247914
query_count,0.004170288827758784
wait_log_count,0.003970399369606489
