tipo,inicio,fin
lockwait,2026-09-11 08:50:33,2026-09-11 08:50:50
fault1,2026-09-11 08:51:06,2026-09-11 08:51:24
fault2,2026-09-11 08:51:40,2026-09-11 08:51:57
fault5,2026-09-11 08:52:13,2026-09-11 08:52:30
fault3,2026-09-11 08:52:46,2026-09-11 08:52:55
