timestamp,cpu_usr,cpu_sys,cpu_idl,cpu_wai,cpu_stl,memory_percent,memory_used_mb,memory_available_mb,disk_read_per_sec,disk_write_per_sec,net_send_per_sec,net_recv_per_sec,load1,load5,load15,active_sessions,active_requests,long_queries,long_transactions,idle_sessions,lock_waits,total_locks,deadlocks_per_sec,venta_locks,detalle_venta_locks,inventario_locks,kardex_locks,caja_locks,movimiento_caja_locks,auditoria_locks,transactions_per_sec,total_reads,total_writes,page_life_expectancy,page_reads_per_sec,page_writes_per_sec,rollbacks_per_sec,batch_requests_per_sec,sql_compilations_per_sec,api_status,api_latency_ms,products_count,sales_count,events_login_count,events_logout_count,events_batch_count,events_lock_count,events_wait_count,duration_max_ms,duration_avg_ms,query_duration_max_ms,query_duration_avg_ms,cpu_time_sum_ms,logical_reads_sum,writes_sum,wait_lck_count,wait_io_count,wait_log_count,distinct_sessions_count,cpu_total,query_count,wait_count,lock_event_count,error_count,requests_per_session,max_server_memory,user_connections_setting,cost_threshold,log_error_count,log_warning_count,log_fatal_count,run_name,experiment_id
2026-09-11 08:49:19,10.3,44.4,42.7,0.0,0.0,89.1,14409.0,1754.0,758188.0,2824327.0,3082.0,4440.0,0.05,0.01,0.01,42.0,23.0,,,36.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.89,0.0,111.2,332.0,0.0,0.0,0.0,0.0,0.0,403.0,26.0,0.0,0.0,0,0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54.7,0,0,21,0,0.5476190476190477,,,,,,,10,exp_01
2026-09-11 08:49:24,18.7,45.9,33.4,0.0,0.0,90.0,14555.0,1608.0,8487330.0,5292530.0,66459.0,974628.0,0.04,0.01,0.01,42.0,22.0,,,36.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.34,0.0,118.8,338.0,0.0,0.0,0.0,0.0,0.0,403.0,21.0,0.0,0.0,0,0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64.6,0,0,19,0,0.5238095238095238,,,,,,,10,exp_01
2026-09-11 08:49:30,16.7,45.2,36.3,0.0,0.0,91.0,14715.0,1449.0,2158521.0,3717275.0,53889.0,181031.0,0.04,0.01,0.01,42.0,20.0,,,34.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.66,0.0,93.66666666666669,343.0,0.0,0.0,0.0,0.0,0.0,403.0,15.0,0.0,0.0,0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61.900000000000006,0,0,14,0,0.4761904761904761,,,,,,,10,exp_01
2026-09-11 08:49:35,11.4,41.2,45.2,0.0,0.0,91.5,14789.0,1374.0,1810666.0,4171587.0,5862.0,67595.0,0.2,0.05,0.02,42.0,20.0,,,36.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.42,0.0,104.2,348.0,0.0,0.0,0.0,0.0,0.0,403.0,18.0,0.0,0.0,0,0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52.6,0,0,17,0,0.4761904761904761,,,,,,,10,exp_01
2026-09-11 08:49:40,6.9,42.4,48.7,0.0,0.0,91.4,14772.0,1392.0,891107.0,3111069.0,4854.0,2855.0,0.18,0.05,0.02,42.0,20.0,,,35.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.97,0.0,104.2,353.0,0.0,0.0,0.0,0.0,0.0,403.0,13.0,0.0,0.0,0,0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49.3,0,0,13,0,0.4761904761904761,,,,,,,10,exp_01
2026-09-11 08:49:45,5.4,40.1,53.0,0.0,0.0,91.3,14756.0,1407.0,904322.0,2609612.0,1818.0,887.0,0.17,0.05,0.02,42.0,19.0,,,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.66,0.0,102.4,358.0,0.0,0.0,0.0,0.0,0.0,403.0,21.0,0.0,0.0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45.5,0,0,15,0,0.4523809523809524,,,,,,,10,exp_01
2026-09-11 08:49:50,3.4,36.9,58.2,0.0,0.0,91.3,14758.0,1406.0,721325.0,2475295.0,132.0,191.0,0.15,0.04,0.02,42.0,24.0,,,34.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.67,0.0,93.4,363.0,0.0,0.0,0.0,0.0,0.0,403.0,11.0,0.0,0.0,0,0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.3,0,0,21,0,0.5714285714285714,,,,,,,10,exp_01
2026-09-11 08:49:56,4.6,37.8,56.1,0.0,0.0,90.5,14634.0,1529.0,705420.0,2735788.0,3554.0,8092.0,0.14,0.04,0.02,40.0,22.0,,,31.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.86,0.0,89.16666666666667,369.0,0.0,0.0,0.0,0.0,0.0,403.0,16.0,0.0,0.0,0,0,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42.4,0,0,27,0,0.55,,,,,,,10,exp_01
2026-09-11 08:50:01,9.1,33.9,55.5,0.0,0.0,91.4,14768.0,1395.0,1252141.0,1824755.0,3758.0,2511.0,0.13,0.04,0.02,30.0,16.0,,,29.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.5,0.0,76.2,374.0,0.0,0.0,0.0,0.0,0.0,403.0,14.0,0.0,0.0,0,0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43.0,0,0,21,0,0.5333333333333333,,,,,,,10,exp_01
2026-09-11 08:50:13,8.9,18.2,69.4,0.0,0.0,90.7,14664.0,1500.0,613691.0,0.0,3563.0,1865.0,0.0,0.0,0.0,31.0,16.0,,,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,386.0,,,,,,403.0,460.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27.1,0,0,0,0,0.5161290322580645,,,,,,,11,exp_02
2026-09-11 08:50:19,10.7,14.2,73.2,0.0,0.0,90.8,14678.0,1486.0,1827403.0,561790.0,3080.0,7751.0,0.0,0.0,0.0,33.0,17.0,,,31.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.01,3.5,7.166666666666667,391.0,0.0,0.0,0.0,0.0,0.0,403.0,19.0,0.0,0.0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24.9,0,0,9,0,0.5151515151515151,,,,,,,11,exp_02
2026-09-11 08:50:24,10.5,17.5,70.3,0.0,0.0,90.4,14611.0,1553.0,941940.0,980750.0,2457.0,2706.0,0.0,0.0,0.0,34.0,18.0,,,32.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.61,0.0,21.4,396.0,0.0,0.0,0.0,0.0,0.0,403.0,23.0,0.0,0.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28.0,0,0,2,0,0.5294117647058824,,,,,,,11,exp_02
2026-09-11 08:50:29,5.8,15.0,78.2,0.0,0.0,90.8,14680.0,1484.0,43978.0,959445.0,3797.0,5175.0,0.0,0.0,0.0,33.0,16.0,,,31.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.84,0.0,19.4,402.0,0.0,0.0,0.0,0.0,0.0,403.0,17.0,0.0,0.0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20.8,0,0,3,0,0.4848484848484848,,,,,,,11,exp_02
2026-09-11 08:50:34,17.2,20.8,60.3,0.0,0.0,93.1,15049.0,1115.0,4311152.0,1350812.0,39792.0,321426.0,0.0,0.0,0.0,40.0,22.0,,,33.0,6.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.44,0.0,17.8,407.0,0.0,0.0,0.0,0.0,0.0,403.0,17.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38.0,0,0,1,0,0.55,,,,,,,11,exp_02
