event_name,timestamp,session_id,database_name,process_type,run_name,severity,error_number,message,command,duration,cpu_time,logical_reads,writes,wait_type
login,2026-09-11 08:48:30.825,73.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,75.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,76.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,77.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,78.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,80.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,81.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,82.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,83.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,84.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,85.0,SteelNort,UNKNOWN,10,,,,,,,,,
login,2026-09-11 08:48:30.825,86.0,SteelNort,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,78.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,82.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,82.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,86.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,81.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,77.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,78.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,78.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,77.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,80.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,76.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,84.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,75.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,76.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,76.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,86.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,82.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,85.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,73.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,77.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,83.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:30.825,80.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:30.825,70.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:30.825,70.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:30.825,70.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:35.876,82.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:35.876,85.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:35.876,85.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:35.876,82.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:35.876,82.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:35.876,76.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:35.876,77.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:35.876,80.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:35.876,86.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:35.876,76.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:35.876,77.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,84.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,80.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,78.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,80.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,82.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,77.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,84.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,78.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,86.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,80.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,83.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,83.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,78.0,0,UNKNOWN,10,,,,,,,,,
lock_acquired,2026-09-11 08:48:40.907,85.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:40.907,78.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:40.907,78.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:40.907,85.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:40.907,82.0,0,UNKNOWN,10,,,,,,,,,
lock_released,2026-09-11 08:48:40.907,85.0,0,UNKNOWN,10,,,,,,,,,
